Unnamed: 0,subj1,subj2,expected-consistency,observed-consistency,cohens-kappa,condition
2148,age2-,age3-,0.96,0.96,0.0,7-9 vs. 10-12
2149,age2-,age5-,0.92,0.95,0.3749999999999991,7-9 vs. Adults
2150,age2-,age5-,0.92,0.95,0.3749999999999991,7-9 vs. Adults
2151,age2-,age5-,0.8749999999999999,0.9333333333333332,0.4666666666666673,7-9 vs. Adults
2184,age2-,vgg19-,0.92,0.9166666666666666,-0.04166666666666765,7-9 vs. DNNs
2185,age2-,BiTM_resnetv2_152x2-,0.935,0.9333333333333332,-0.025641025641024502,7-9 vs. DNNs
2192,age2-,ResNeXt101_32x16d_swsl-,0.95,0.95,0.0,7-9 vs. DNNs
2197,age2-,resnext101_32x8d-,0.935,0.9333333333333332,-0.025641025641024502,7-9 vs. DNNs
2201,age2-,swag_regnety_128gf_in1k-,0.95,0.95,0.0,7-9 vs. DNNs
2206,age3-,age5-,0.96,0.96,0.0,10-12 vs. Adults
2207,age3-,age5-,0.96,0.96,0.0,10-12 vs. Adults
2208,age3-,age5-,0.9232,0.92,-0.04166666666666643,10-12 vs. Adults
2241,age3-,vgg19-,0.9232,0.92,-0.04166666666666643,10-12 vs. DNNs
2242,age3-,BiTM_resnetv2_152x2-,0.9232,0.92,-0.04166666666666643,10-12 vs. DNNs
2249,age3-,ResNeXt101_32x16d_swsl-,0.96,0.96,0.0,10-12 vs. DNNs
2254,age3-,resnext101_32x8d-,0.9232,0.92,-0.04166666666666643,10-12 vs. DNNs
2257,age3-,swag_regnety_128gf_in1k-,0.96,0.96,0.0,10-12 vs. DNNs
2262,age5-,age5-,0.95125,0.95,-0.025641025641025057,Adults vs. Adults
2263,age5-,age5-,0.90375,0.95,0.4805194805194804,Adults vs. Adults
2296,age5-,vgg19-,0.95125,0.95,-0.025641025641025057,Adults vs. DNNs
2297,age5-,BiTM_resnetv2_152x2-,0.963125,0.9625,-0.016949152542375587,Adults vs. DNNs
2304,age5-,ResNeXt101_32x16d_swsl-,0.975,0.975,0.0,Adults vs. DNNs
2309,age5-,resnext101_32x8d-,0.963125,0.9625,-0.016949152542375587,Adults vs. DNNs
2313,age5-,swag_regnety_128gf_in1k-,0.975,0.975,0.0,Adults vs. DNNs
2318,age5-,age5-,0.90375,0.95,0.4805194805194804,Adults vs. Adults
2351,age5-,vgg19-,0.95125,0.95,-0.025641025641025057,Adults vs. DNNs
2352,age5-,BiTM_resnetv2_152x2-,0.963125,0.9625,-0.016949152542375587,Adults vs. DNNs
2359,age5-,ResNeXt101_32x16d_swsl-,0.975,0.975,0.0,Adults vs. DNNs
2364,age5-,resnext101_32x8d-,0.963125,0.9625,-0.016949152542375587,Adults vs. DNNs
2368,age5-,swag_regnety_128gf_in1k-,0.975,0.975,0.0,Adults vs. DNNs
2405,age5-,vgg19-,0.90375,0.9,-0.038961038961038114,Adults vs. DNNs
2406,age5-,BiTM_resnetv2_152x2-,0.9143750000000002,0.9125,-0.021897810218980268,Adults vs. DNNs
2413,age5-,ResNeXt101_32x16d_swsl-,0.925,0.925,0.0,Adults vs. DNNs
2418,age5-,resnext101_32x8d-,0.9143750000000002,0.9375,0.2700729927007285,Adults vs. DNNs
2422,age5-,swag_regnety_128gf_in1k-,0.925,0.925,0.0,Adults vs. DNNs
3627,vgg19-,BiTM_resnetv2_152x2-,0.963125,0.9875,0.6610169491525425,DNNs vs. DNNs
3634,vgg19-,ResNeXt101_32x16d_swsl-,0.975,0.975,0.0,DNNs vs. DNNs
3639,vgg19-,resnext101_32x8d-,0.963125,0.9625,-0.016949152542375587,DNNs vs. DNNs
3643,vgg19-,swag_regnety_128gf_in1k-,0.975,0.975,0.0,DNNs vs. DNNs
3654,BiTM_resnetv2_152x2-,ResNeXt101_32x16d_swsl-,0.9875,0.9875,0.0,DNNs vs. DNNs
3659,BiTM_resnetv2_152x2-,resnext101_32x8d-,0.9753125,0.975,-0.012658227848103259,DNNs vs. DNNs
3663,BiTM_resnetv2_152x2-,swag_regnety_128gf_in1k-,0.9875,0.9875,0.0,DNNs vs. DNNs
3771,ResNeXt101_32x16d_swsl-,resnext101_32x8d-,0.9875,0.9875,0.0,DNNs vs. DNNs
3775,ResNeXt101_32x16d_swsl-,swag_regnety_128gf_in1k-,1.0,1.0,1.0,DNNs vs. DNNs
3825,resnext101_32x8d-,swag_regnety_128gf_in1k-,0.9875,0.9875,0.0,DNNs vs. DNNs
